日期,類型,代號,名稱,評級,分數,產業,狀態,來源摘要,基準價,樣本代號,隔日漲跌%,3日最高漲幅%,5日最高漲幅%,是否達標,是否失敗,更新時間
2026-05-12,主動ETF,00983A,00983A,🟢 可分批,82.9,ETF,🟢 可分批,趨勢強，可小量分批，不追高,11.86,,-0.59,-0.34,-0.34,N,N,2026-05-13 09:41:22
2026-05-12,特殊關注,6629,泰金-KY,特殊關注,125.4,居家生活,🔥 第一段 (主升起漲),🔥 爆量主升,123.5,,1.62,1.62,1.62,N,N,2026-05-13 09:41:23
2026-05-12,特殊關注,3332,幸康,特殊關注,120.2,電子零組件業,🔥 第一段 (主升起漲),🚀 穩步多頭,65.80000305175781,,0.15,1.67,1.67,N,N,2026-05-13 09:41:23
2026-05-12,特殊關注,6245,立端,特殊關注,112.1,通信網路業,🔥 第一段 (主升起漲),🚀 穩步多頭,82.80000305175781,,0.0,0.0,0.0,N,N,2026-05-13 09:41:23
2026-05-12,特殊關注,2382,廣達,特殊關注,96.8,電腦及週邊設備業,🛡️ 第二段 (均線回踩),🛡️ 回踩 M10,340.0,,0.15,0.88,0.88,N,N,2026-05-13 09:41:24
2026-05-12,特殊關注,6177,達麗,特殊關注,91.0,建材營造業,🔥 第一段 (主升起漲),🚀 穩步多頭,47.25,,-1.48,2.22,2.22,N,N,2026-05-13 09:41:24
2026-05-12,特殊關注,2401,凌陽,特殊關注,90.3,半導體業,🔥 第一段 (主升起漲),🚀 穩步多頭,25.950000762939453,,-3.85,-2.12,-2.12,N,Y,2026-05-13 09:41:24
2026-05-12,產業輪動,IND其他電子業,其他電子業,🔥 主戰場,100.0,其他電子業,🔥 主戰場,可信度 高｜樣本 29｜只做龍頭回測，不追第三根,,"3131,6877,3402,5452,3587,6654,6855,5493,4577,3219",0.6,2.52,2.52,N,N,2026-05-13 09:41:27
2026-05-12,產業輪動,IND半導體業,半導體業,🔥 主戰場,99.0,半導體業,🔥 主戰場,可信度 高｜樣本 74｜只做龍頭回測，不追第三根,,"3583,6187,3443,7734,3227,2303,3122,3661,3711,2330",-1.74,0.86,0.86,N,N,2026-05-13 09:41:29
2026-05-12,產業輪動,IND光電業,光電業,🔥 主戰場,98.0,光電業,🔥 主戰場,可信度 高｜樣本 28｜只做龍頭回測，不追第三根,,"3490,4933,5220,3339,6498,3008,3666,6899,8049,6234",2.03,4.63,4.63,Y,N,2026-05-13 09:41:32
2026-05-12,產業輪動,IND通信網路業,通信網路業,🔥 主戰場,95.0,通信網路業,🔥 主戰場,可信度 高｜樣本 30｜只做龍頭回測，不追第三根,,"8048,8059,6245,3363,3152,8089,3081,5353,3095,3234",-3.51,-0.39,-0.39,N,Y,2026-05-13 09:41:35
2026-05-12,產業輪動,IND電子零組件業,電子零組件業,🔥 主戰場,93.0,電子零組件業,🔥 主戰場,可信度 高｜樣本 69｜只做龍頭回測，不追第三根,,"3332,6158,4939,5381,6913,6175,3548,8358,3236,3044",1.63,3.73,3.73,Y,N,2026-05-13 09:41:38
2026-05-12,產業輪動,IND電子通路業,電子通路業,🔥 主戰場,91.0,電子通路業,🔥 主戰場,可信度 高｜樣本 10｜只做龍頭回測，不追第三根,,"3444,6227,8084,3360,6270,3209,6118,8068,6154,3036",0.09,2.14,2.14,N,N,2026-05-13 09:41:41
2026-05-12,產業輪動,IND電機機械,電機機械,🔥 主戰場,79.0,電機機械,🔥 主戰場,可信度 中｜樣本 5｜只做龍頭回測，不追第三根,,"7750,2049,1560,8996,2371",-3.83,0.1,0.1,N,Y,2026-05-13 09:41:41
2026-05-12,產業輪動,IND觀光餐旅,觀光餐旅,🟠 資金升溫,61.0,觀光餐旅,🟠 資金升溫,可信度 中｜樣本 6｜可找族群強股小倉試單,,"2754,5905,1259,2727,2731,2755",0.83,1.9,1.9,N,N,2026-05-13 09:41:42
2026-05-11,B級,3583,辛耘,B,192.5,半導體業,🔥 第一段 (主升起漲),🚀 穩步多頭,866.0,,9.93,9.93,9.93,Y,N,2026-05-12 13:53:54
2026-05-11,B級,3443,創意,B,140.6,半導體業,🔥 第一段 (主升起漲),🚀 穩步多頭,5730.0,,-2.79,3.84,3.84,Y,Y,2026-05-12 13:53:54
2026-05-11,B級,2303,聯電,B,135.7,半導體業,🔥 第一段 (主升起漲),🚀 穩步多頭,95.0,,10.0,10.0,10.0,Y,N,2026-05-12 13:53:54
2026-05-11,B級,6669,緯穎,B,131.1,電腦及週邊設備業,🔥 第一段 (主升起漲),🚀 穩步多頭,5340.0,,8.43,9.93,9.93,Y,N,2026-05-12 13:53:55
2026-05-11,B級,3711,日月光投控,B,129.7,半導體業,🔥 第一段 (主升起漲),🚀 穩步多頭,537.0,,3.35,7.82,7.82,Y,N,2026-05-12 13:53:55
2026-05-11,B級,3661,世芯-KY,B,121.6,半導體業,🔥 第一段 (主升起漲),🚀 穩步多頭,5375.0,,-1.21,4.93,4.93,Y,N,2026-05-12 13:53:55
2026-05-11,B級,2049,上銀,B,117.5,電機機械,🔥 第一段 (主升起漲),🔥 爆量主升,351.0,,4.7,5.56,5.56,Y,N,2026-05-12 13:53:55
2026-05-11,B級,3044,健鼎,B,109.3,電子零組件業,🔥 第一段 (主升起漲),🚀 穩步多頭,489.5,,-1.74,3.78,3.78,Y,N,2026-05-12 13:53:55
2026-05-11,S級,2388,威盛,S,142.9,半導體業,🛡️ 第二段 (均線回踩),🛡️ 回踩 M10,76.69999694824219,,-2.35,1.43,1.43,N,Y,2026-05-12 13:53:55
2026-05-11,S級,4968,立積,S,123.6,半導體業,🔥 第一段 (主升起漲),🚀 穩步多頭,121.0,,-0.41,2.07,2.07,N,N,2026-05-12 13:53:55
2026-05-11,主動ETF,00982A,00982A,🟠 過熱不追,100.0,ETF,🟠 過熱不追,乖離偏高，只續抱不追價,23.04,,1.0,1.91,1.91,N,N,2026-05-12 13:53:56
