日期,ETF代號,ETF名稱,成分股代號,成分股名稱,權重,持有股數,收盤價,產業,來源
2026-05-13,00400A,主動國泰動能高息,4749,新應材,0.47,0.0,0.0,半導體業,https://www.cmoney.tw/etf/tw/00400A/fundholding
2026-05-13,00400A,主動國泰動能高息,6278,台表科,0.46,0.0,0.0,光電業,https://www.cmoney.tw/etf/tw/00400A/fundholding
2026-05-13,00400A,主動國泰動能高息,3293,鈊 象,0.45,0.0,0.0,文化創意業,https://www.cmoney.tw/etf/tw/00400A/fundholding
2026-05-13,00400A,主動國泰動能高息,5434,崇越,0.38,0.0,0.0,電子通路業,https://www.cmoney.tw/etf/tw/00400A/fundholding
2026-05-13,00400A,主動國泰動能高息,2881,富邦金,0.36,0.0,0.0,金融保險業,https://www.cmoney.tw/etf/tw/00400A/fundholding
2026-05-13,00400A,主動國泰動能高息,1717,長興,0.34,0.0,0.0,化學工業,https://www.cmoney.tw/etf/tw/00400A/fundholding
2026-05-13,00400A,主動國泰動能高息,6121,新 普,0.32,0.0,0.0,電腦及週邊設備業,https://www.cmoney.tw/etf/tw/00400A/fundholding
2026-05-13,00400A,主動國泰動能高息,6715,嘉 基,0.31,0.0,0.0,電子零組件業,https://www.cmoney.tw/etf/tw/00400A/fundholding
2026-05-13,00400A,主動國泰動能高息,3374,精 材,0.3,0.0,0.0,半導體業,https://www.cmoney.tw/etf/tw/00400A/fundholding
2026-05-13,00400A,主動國泰動能高息,6683,雍智科技,0.24,0.0,0.0,半導體業,https://www.cmoney.tw/etf/tw/00400A/fundholding
2026-05-13,00400A,主動國泰動能高息,2385,群光,0.2,0.0,0.0,電子零組件業,https://www.cmoney.tw/etf/tw/00400A/fundholding
2026-05-13,00400A,主動國泰動能高息,8069,元太,0.05,0.0,0.0,光電業,https://www.cmoney.tw/etf/tw/00400A/fundholding
2026-05-13,00980A,主動野村臺灣優選,2330,台灣積體電路製造,7.83,0.0,0.0,半導體業,https://www.cmoney.tw/etf/tw/00980A/fundholding
2026-05-13,00980A,主動野村臺灣優選,2308,台達電子工業,5.77,0.0,0.0,電子零組件業,https://www.cmoney.tw/etf/tw/00980A/fundholding
2026-05-13,00980A,主動野村臺灣優選,202605TX,台灣證交所加權股價指數,5.54,0.0,0.0,未分類,https://www.cmoney.tw/etf/tw/00980A/fundholding
2026-05-13,00980A,主動野村臺灣優選,2383,台光電子材料,3.84,0.0,0.0,電子零組件業,https://www.cmoney.tw/etf/tw/00980A/fundholding
2026-05-13,00980A,主動野村臺灣優選,2454,聯發科技,3.82,0.0,0.0,半導體業,https://www.cmoney.tw/etf/tw/00980A/fundholding
2026-05-13,00980A,主動野村臺灣優選,7769,鴻勁精密,3.72,0.0,0.0,半導體業,https://www.cmoney.tw/etf/tw/00980A/fundholding
2026-05-13,00980A,主動野村臺灣優選,2360,致茂電子,3.19,0.0,0.0,其他電子業,https://www.cmoney.tw/etf/tw/00980A/fundholding
2026-05-13,00980A,主動野村臺灣優選,2345,智邦科技,2.94,0.0,0.0,通信網路業,https://www.cmoney.tw/etf/tw/00980A/fundholding
2026-05-13,00980A,主動野村臺灣優選,2382,廣達電腦,2.86,0.0,0.0,電腦及週邊設備業,https://www.cmoney.tw/etf/tw/00980A/fundholding
2026-05-13,00980A,主動野村臺灣優選,2408,南亞科技,2.82,0.0,0.0,半導體業,https://www.cmoney.tw/etf/tw/00980A/fundholding
2026-05-13,00980A,主動野村臺灣優選,2317,鴻海精密工業,2.78,0.0,0.0,其他電子業,https://www.cmoney.tw/etf/tw/00980A/fundholding
2026-05-13,00980A,主動野村臺灣優選,3017,奇鋐科技,2.76,0.0,0.0,電腦及週邊設備業,https://www.cmoney.tw/etf/tw/00980A/fundholding
2026-05-13,00980A,主動野村臺灣優選,6669,緯穎科技服務,2.69,0.0,0.0,電腦及週邊設備業,https://www.cmoney.tw/etf/tw/00980A/fundholding
2026-05-13,00980A,主動野村臺灣優選,2059,川湖科技,2.5,0.0,0.0,電子零組件業,https://www.cmoney.tw/etf/tw/00980A/fundholding
2026-05-13,00980A,主動野村臺灣優選,5274,信驊科技,2.38,0.0,0.0,半導體業,https://www.cmoney.tw/etf/tw/00980A/fundholding
2026-05-13,00980A,主動野村臺灣優選,8210,勤誠興業,2.37,0.0,0.0,電腦及週邊設備業,https://www.cmoney.tw/etf/tw/00980A/fundholding
2026-05-13,00980A,主動野村臺灣優選,6223,旺矽科技,2.36,0.0,0.0,半導體業,https://www.cmoney.tw/etf/tw/00980A/fundholding
2026-05-13,00980A,主動野村臺灣優選,2368,金像電子（股）公司,2.35,0.0,0.0,電子零組件業,https://www.cmoney.tw/etf/tw/00980A/fundholding
2026-05-13,00980A,主動野村臺灣優選,8299,群聯電子,2.28,0.0,0.0,半導體業,https://www.cmoney.tw/etf/tw/00980A/fundholding
2026-05-13,00980A,主動野村臺灣優選,6515,穎崴科技,2.12,0.0,0.0,半導體業,https://www.cmoney.tw/etf/tw/00980A/fundholding
2026-05-13,00980A,主動野村臺灣優選,2344,華邦電子,2.05,0.0,0.0,半導體業,https://www.cmoney.tw/etf/tw/00980A/fundholding
2026-05-13,00980A,主動野村臺灣優選,3665,貿聯控股（BizLink Holding In,1.89,0.0,0.0,其他電子業,https://www.cmoney.tw/etf/tw/00980A/fundholding
2026-05-13,00980A,主動野村臺灣優選,6274,台燿科技,1.87,0.0,0.0,電子零組件業,https://www.cmoney.tw/etf/tw/00980A/fundholding
2026-05-13,00980A,主動野村臺灣優選,3711,日月光投資控股,1.71,0.0,0.0,半導體業,https://www.cmoney.tw/etf/tw/00980A/fundholding
2026-05-13,00980A,主動野村臺灣優選,6805,富世達,1.57,0.0,0.0,電子零組件業,https://www.cmoney.tw/etf/tw/00980A/fundholding
2026-05-13,00980A,主動野村臺灣優選,3443,創意電子,1.55,0.0,0.0,半導體業,https://www.cmoney.tw/etf/tw/00980A/fundholding
2026-05-13,00980A,主動野村臺灣優選,3653,健策精密工業,1.35,0.0,0.0,電子零組件業,https://www.cmoney.tw/etf/tw/00980A/fundholding
